id_cartao_amarelo,id_partida,id_time,id_Jogador,tempo,acrescimo
1026,94705,124,10315,45,
1027,94705,135,10101,55,
1028,94705,124,10311,79,
1029,94705,135,10084,80,
1030,94705,135,10086,90,
1031,94705,124,10314,90,
1032,94706,119,10391,57,
1033,94706,119,10402,89,
1034,94706,150,10290,90,
1035,94706,150,10459,90,
1036,94707,1062,9868,22,
1037,94707,1062,9866,82,
1038,94707,1062,9876,90,
1039,94708,154,10420,6,
1040,94708,132,10211,27,
1041,94708,154,10417,45,
1042,94708,154,10437,57,
1043,94708,132,10222,57,
1044,94708,154,10287,59,
1045,94709,129,77714,24,
1046,94709,129,10269,41,
1047,94709,129,10283,52,
1048,94710,121,9929,64,
1049,94710,121,9935,70,
1050,94710,128,10000,76,
1051,94711,127,10168,32,
1052,94711,127,10163,46,
1053,94711,127,10165,54,
1054,94711,127,10180,59,
