idGol,idPartida,idTime,idJogadorGol,idJogadorAssistencia,tempo,acrescimo
666,94763,135,10103,10098.0,74,
667,94764,127,10180,,45,1.0
668,94764,127,10180,30408.0,45,2.0
669,94764,127,10180,2612.0,46,
670,94764,131,10241,10244.0,52,
671,94764,127,10177,10173.0,67,
672,94766,154,10427,10434.0,15,
673,94766,1062,9865,,24,
674,94766,154,10427,10287.0,28,
675,94766,1062,9876,9881.0,86,
676,94767,151,80277,,90,1.0
677,94767,151,10355,,90,4.0
678,94768,130,10485,10501.0,34,
679,94768,130,10490,10500.0,78,
680,94769,121,9932,,17,
681,94770,128,10004,9991.0,3,
682,94770,128,10506,10000.0,13,
683,94770,120,10078,10048.0,34,
684,94770,128,2454,10506.0,68,
685,94770,128,2454,10004.0,69,
686,94772,1062,9881,,54,
687,94772,1062,9889,,90,4.0
688,94773,128,10004,,9,
689,94773,128,10506,10004.0,24,
690,94773,145,10525,,35,
691,94774,132,41247,10199.0,14,
692,94774,118,10035,9927.0,85,
693,94775,127,10178,10180.0,89,
694,94776,129,80166,10267.0,42,
695,94776,129,80171,,88,
696,94777,154,10438,10416.0,34,
697,94777,131,10254,10244.0,37,
698,94777,131,10242,10260.0,48,
699,94777,154,10435,10416.0,52,
700,94777,131,10254,10258.0,72,
701,94778,130,10507,2414.0,8,
702,94778,150,10458,,90,
703,94778,130,10445,,90,3.0
704,94779,124,10307,10320.0,37,
705,94779,124,10322,10316.0,40,
706,94780,121,9918,,12,
707,94780,133,9917,,18,
708,94780,121,1793,,77,
709,94781,120,10523,,13,
710,94781,120,10072,,88,
711,94782,130,10323,50081.0,3,
712,94784,133,10281,10581.0,26,
713,94784,133,10558,10552.0,67,
714,94784,133,10446,,81,
715,94785,118,10173,,39,
716,94785,127,10166,10174.0,54,
717,94785,127,10180,10174.0,72,
718,94785,127,10174,,87,
719,94786,154,10437,10434.0,13,
720,94787,128,2454,,25,
721,94787,128,10506,2454.0,60,
722,94787,128,2454,10506.0,73,
723,94788,119,10400,,35,
724,94788,119,10400,10377.0,39,
725,94788,124,695,,72,
726,94789,131,10236,,90,2.0
727,94789,121,9921,,90,4.0
728,94790,134,10142,10147.0,90,
729,94791,134,10493,10143.0,59,
730,94792,118,10039,,45,2.0
731,94792,121,9933,9932.0,71,
732,94793,132,10222,10192.0,82,
733,94796,124,9865,,16,
734,94796,1062,47552,9881.0,89,
735,94797,154,10287,,34,
736,94797,154,10413,10437.0,49,
737,94797,154,9832,10287.0,54,
738,94798,127,10174,,37,
739,94799,128,10000,,8,
740,94799,126,256,9962.0,55,
741,94800,133,12965,,35,
742,94800,151,10558,,90,7.0
743,94801,134,10147,,87,
744,94802,132,10222,9726.0,77,
745,94803,120,10072,10067.0,19,
746,94804,126,9962,41.0,45,1.0
747,94804,129,77669,80171.0,90,6.0
748,94805,124,10328,10322.0,50,
749,94806,127,10168,10174.0,1,
750,94806,133,10574,10281.0,34,
751,94806,133,10581,,38,
752,94806,127,10552,,45,5.0
753,94806,133,10564,10578.0,52,
754,94806,127,10180,2612.0,65,
755,94806,127,10180,10174.0,80,
756,94806,133,10575,10558.0,90,3.0
757,94807,151,80277,10359.0,8,
758,94807,151,10364,10359.0,12,
759,94807,118,10041,10042.0,59,
760,94807,151,10353,10340.0,71,
761,94807,118,374,10031.0,77,
762,94807,151,10346,,79,
763,94807,118,10044,10031.0,90,1.0
764,94808,154,10434,10438.0,8,
765,94808,119,10401,10382.0,43,
766,94808,154,10413,,72,
767,94808,119,10401,10404.0,83,
768,94809,130,2414,,69,
769,94809,121,9921,,83,
770,94809,130,10500,10495.0,90,4.0
771,94810,135,2485,10098.0,14,
772,94810,128,10004,19420.0,23,
773,94810,128,10506,10000.0,60,
774,94810,128,2454,10000.0,65,
775,94810,128,9987,19420.0,90,
776,94811,134,10119,10143.0,33,
777,94811,134,10133,,64,
778,94812,1062,9880,,54,
779,94812,118,10042,10031.0,64,
780,94813,120,10064,10068.0,53,
781,94814,131,10257,10258.0,22,
782,94814,131,10242,10257.0,52,
783,94814,131,10254,2411.0,87,
784,94815,150,9341,,43,
785,94816,129,80166,80474.0,27,
786,94816,127,10180,,65,
787,94816,127,10180,2612.0,74,
788,94816,127,10180,,85,
789,94816,127,10177,10168.0,90,1.0
790,94817,124,10322,,38,
791,94818,154,10436,,50,
792,94818,154,10434,,65,
793,94818,128,10000,9987.0,69,
794,94819,151,80277,,14,
795,94819,151,10364,10352.0,72,
796,94819,119,10401,10391.0,78,
797,94820,126,9971,9976.0,6,
798,94821,1062,9880,9881.0,19,
799,94821,131,10260,,20,
800,94821,1062,9876,,74,
801,94822,124,10322,10305.0,36,
802,94822,145,10525,,90,3.0
803,94823,119,10401,,84,
804,94824,129,80171,,88,
805,94824,134,10117,10131.0,90,4.0
806,94825,118,10041,10033.0,32,
807,94825,150,10028,10458.0,55,
808,94825,118,10039,10040.0,86,
809,94826,154,10416,10287.0,16,
810,94826,154,10434,10436.0,26,
